vehicle_uid,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,car_record_id,car_age,price_category,km_category,owner_count,fuel_transmission,brand,price_per_km,is_diesel
CAR_000001,Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner,1,18,Low,,0,Petrol_Manual,Maruti,0.86,0
CAR_000002,Maruti Wagon R LXI Minor,2007,135000,50000,,Individual,Manual,First Owner,2,18,Low,,0,Petrol_Manual,Maruti,2.7,0
CAR_000003,Hyundai Verna 1.6 SX,2012,600000,100000,Diesel,Individual,Manual,First Owner,3,13,,,,Diesel_Manual,Hyundai,6,1
CAR_000004,Datsun RediGO T Option,2017,250000,46000,Petrol,Individual,Manual,First Owner,4,8,Low,Medium,0,Petrol_Manual,Datsun,5.43,0
CAR_000005,Honda Amaze VX i-DTEC,2014,450000,141000,Diesel,Individual,Manual,Second Owner,5,11,,High,0,Diesel_Manual,Honda,3.19,1
CAR_000006,Maruti Alto LX BSIII,2007,140000,125000,Petrol,Individual,Manual,First Owner,6,18,Low,High,0,Petrol_Manual,Maruti,1.12,0
CAR_000007,Hyundai Xcent 1.2 Kappa S,2016,550000,25000,Petrol,Individual,,First Owner,7,9,Mid,Low,0,Petrol_Manual,Hyundai,22,0
CAR_000008,Tata Indigo Grand Petrol,2014,240000,60000,Petrol,Individual,Manual,Second Owner,8,11,Low,Medium,0,Petrol_Manual,Tata,4,0
CAR_000009,Hyundai Creta 1.6 VTVT S,2015,,25000,,Individual,Manual,First Owner,9,10,High,Low,0,Petrol_Manual,Hyundai,34,0
CAR_000010,Maruti Celerio Green VXI,2017,365000,78000,CNG,Individual,Manual,First Owner,10,8,Mid,High,0,CNG_Manual,Maruti,4.68,0
CAR_000011,Chevrolet Sail 1.2 Base,2015,260000,35000,Petrol,Individual,Manual,First Owner,11,10,Low,Medium,0,Petrol_Manual,Chevrolet,7.43,0
CAR_000012,Tata Indigo Grand Petrol,2014,250000,100000,Petrol,Individual,Manual,First Owner,12,11,Low,High,0,Petrol_Manual,Tata,2.5,0
CAR_000013,Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner,13,7,Premium,Low,0,Petrol_Automatic,Toyota,66,0
CAR_000014,Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner,14,18,Low,Medium,0,Petrol_Manual,Maruti,0.86,0
CAR_000015,Maruti Wagon R LXI Minor,2007,135000,,Petrol,Individual,Manual,First Owner,15,18,Low,Medium,0,Petrol_Manual,Maruti,2.7,0
CAR_000016,Hyundai Verna 1.6 SX,2012,600000,100000,,Individual,Manual,First Owner,16,13,Mid,High,0,Diesel_Manual,Hyundai,6,1
CAR_000017,Datsun RediGO T Option,2017,250000,46000,Petrol,Individual,Manual,First Owner,17,8,Low,Medium,0,Petrol_Manual,Datsun,5.43,0
CAR_000018,Honda Amaze VX i-DTEC,2014,,,Diesel,Individual,Manual,Second Owner,18,11,Mid,High,0,Diesel_Manual,Honda,3.19,1
CAR_000019,Maruti Alto LX BSIII,2007,140000,125000,Petrol,Individual,Manual,First Owner,19,18,Low,High,0,Petrol_Manual,Maruti,1.12,0
CAR_000020,Hyundai Xcent 1.2 Kappa S,2016,550000,25000,Petrol,Individual,,First Owner,20,9,Mid,Low,,Petrol_Manual,Hyundai,22,0
CAR_000021,Tata Indigo Grand Petrol,2014,240000,60000,Petrol,Individual,Manual,Second Owner,21,11,Low,Medium,,Petrol_Manual,Tata,4,0
CAR_000022,Hyundai Creta 1.6 VTVT S,2015,850000,25000,Petrol,Individual,Manual,First Owner,22,10,High,Low,0,Petrol_Manual,Hyundai,34,0
CAR_000023,Maruti Celerio Green VXI,2017,365000,,CNG,Individual,Manual,First Owner,23,8,Mid,High,0,CNG_Manual,Maruti,4.68,0
CAR_000024,Chevrolet Sail 1.2 Base,2015,,,Petrol,Individual,Manual,First Owner,24,10,,Medium,0,Petrol_Manual,Chevrolet,7.43,0
CAR_000025,Tata Indigo Grand Petrol,2014,250000,100000,Petrol,Individual,Manual,First Owner,25,11,Low,High,0,Petrol_Manual,Tata,2.5,0
CAR_000026,Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner,26,7,Premium,Low,0,Petrol_Automatic,Toyota,66,0
CAR_000027,Maruti Ciaz VXi Plus,2015,585000,24000,Petrol,Dealer,Manual,First Owner,27,10,Mid,Low,0,Petrol_Manual,Maruti,24.38,0
CAR_000028,Hyundai Venue SX Opt Diesel,2019,1195000,5000,Diesel,Dealer,Manual,First Owner,28,6,Premium,Low,0,Diesel_Manual,Hyundai,239,1
CAR_000029,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,390000,33000,Diesel,Individual,Manual,Second Owner,29,12,,Medium,0,Diesel_Manual,Chevrolet,11.82,1
CAR_000030,Jaguar XF 2.2 Litre Luxury,2014,1964999,28000,Diesel,Dealer,Automatic,First Owner,30,11,Premium,Low,0,Diesel_Automatic,Jaguar,70.18,1
CAR_000031,Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,31,12,Premium,Medium,0,Diesel_Automatic,Mercedes-Benz,24.15,1
CAR_000032,Maruti Vitara Brezza ZDi Plus AMT,2018,975000,4500,Diesel,Dealer,Automatic,First Owner,32,7,High,Low,0,Diesel_Automatic,Maruti,216.67,1
CAR_000033,Audi Q5 2.0 TDI,2011,1190000,,Diesel,Dealer,,First Owner,33,14,Premium,Very High,0,Diesel_Automatic,Audi,6.77,1
CAR_000034,Honda City V MT,2018,,,Petrol,Dealer,Manual,First Owner,34,7,High,Low,0,Petrol_Manual,Honda,64.14,0
CAR_000035,Tata Tigor 1.2 Revotron XT,2018,525000,15000,Petrol,Individual,Manual,First Owner,35,7,Mid,Low,0,Petrol_Manual,Tata,35,0
CAR_000036,Audi A6 2.0 TDI  Design Edition,2013,1735000,50000,Diesel,Dealer,Automatic,First Owner,36,12,Premium,Medium,0,Diesel_Automatic,Audi,34.7,1
CAR_000037,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,1375000,33800,Diesel,Dealer,Automatic,Second Owner,37,13,Premium,,0,Diesel_Automatic,Mercedes-Benz,40.68,1
CAR_000038,Skoda Superb Ambition 2.0 TDI CR AT,2011,450000,,Diesel,Dealer,Automatic,Second Owner,38,14,Mid,High,0,Diesel_Automatic,Skoda,3.45,1
CAR_000039,Toyota Corolla Altis G AT,2016,900000,50000,Petrol,Individual,Automatic,First Owner,39,9,High,Medium,0,Petrol_Automatic,Toyota,18,0
CAR_000040,Toyota Innova 2.5 G (Diesel) 7 Seater,2015,1300000,80000,Diesel,Individual,Manual,First Owner,40,10,Premium,High,0,Diesel_Manual,Toyota,16.25,1
