vehicle_uid,name,year,fuel,seller_type,transmission,owner,brand,car_age
CAR_000001,Maruti 800 AC,2007,Petrol,Individual,Manual,First Owner,Maruti,18
CAR_000002,Maruti Wagon R LXI Minor,2007,Petrol,Individual,Manual,First Owner,Maruti,18
CAR_000003,Hyundai Verna 1.6 SX,2012,Diesel,Individual,Manual,First Owner,Hyundai,13
CAR_000004,Datsun RediGO T Option,2017,Petrol,Individual,Manual,First Owner,Datsun,8
CAR_000005,Honda Amaze VX i-DTEC,2014,Diesel,Individual,Manual,Second Owner,Honda,11
CAR_000006,Maruti Alto LX BSIII,2007,Petrol,Individual,Manual,First Owner,Maruti,18
CAR_000007,Hyundai Xcent 1.2 Kappa S,2016,Petrol,Individual,Unknown,First Owner,Hyundai,9
CAR_000008,Tata Indigo Grand Petrol,2014,Petrol,Individual,Manual,Second Owner,Tata,11
CAR_000009,Hyundai Creta 1.6 VTVT S,2015,Petrol,Individual,Manual,First Owner,Hyundai,10
CAR_000010,Maruti Celerio Green VXI,2017,CNG,Individual,Manual,First Owner,Maruti,8
CAR_000011,Chevrolet Sail 1.2 Base,2015,Petrol,Individual,Manual,First Owner,Chevrolet,10
CAR_000012,Tata Indigo Grand Petrol,2014,Petrol,Individual,Manual,First Owner,Tata,11
CAR_000013,Toyota Corolla Altis 1.8 VL CVT,2018,Petrol,Dealer,Automatic,First Owner,Toyota,7
CAR_000014,Maruti 800 AC,2007,Petrol,Individual,Manual,First Owner,Maruti,18
CAR_000015,Maruti Wagon R LXI Minor,2007,Petrol,Individual,Manual,First Owner,Maruti,18
CAR_000016,Hyundai Verna 1.6 SX,2012,Petrol,Individual,Manual,First Owner,Hyundai,13
CAR_000017,Datsun RediGO T Option,2017,Petrol,Individual,Manual,First Owner,Datsun,8
CAR_000018,Honda Amaze VX i-DTEC,2014,Diesel,Individual,Manual,Second Owner,Honda,11
CAR_000019,Maruti Alto LX BSIII,2007,Petrol,Individual,Manual,First Owner,Maruti,18
CAR_000020,Hyundai Xcent 1.2 Kappa S,2016,Petrol,Individual,Unknown,First Owner,Hyundai,9
