vehicle_uid,selling_price,km_driven,price_category,km_category
CAR_000001,60000.0,70000.0,Low,Medium
CAR_000002,135000.0,50000.0,Low,Medium
CAR_000003,600000.0,100000.0,Low,Medium
CAR_000004,250000.0,46000.0,Low,Medium
CAR_000005,450000.0,141000.0,Low,High
CAR_000006,140000.0,125000.0,Low,High
CAR_000007,550000.0,25000.0,Mid,Low
CAR_000008,240000.0,60000.0,Low,Medium
CAR_000009,4461000.0,25000.0,High,Low
CAR_000010,365000.0,78000.0,Mid,High
CAR_000011,260000.0,35000.0,Low,Medium
CAR_000012,250000.0,100000.0,Low,High
CAR_000013,1650000.0,25000.0,Premium,Low
CAR_000014,60000.0,70000.0,Low,Medium
CAR_000015,135000.0,60000.0,Low,Medium
CAR_000016,600000.0,100000.0,Mid,High
CAR_000017,250000.0,46000.0,Low,Medium
CAR_000018,4461000.0,60000.0,Mid,High
CAR_000019,140000.0,125000.0,Low,High
CAR_000020,550000.0,25000.0,Mid,Low
CAR_000021,240000.0,60000.0,Low,Medium
CAR_000022,850000.0,25000.0,High,Low
CAR_000023,365000.0,60000.0,Mid,High
CAR_000024,4461000.0,60000.0,Low,Medium
CAR_000025,250000.0,100000.0,Low,High
CAR_000026,1650000.0,25000.0,Premium,Low
CAR_000027,585000.0,24000.0,Mid,Low
CAR_000028,1195000.0,5000.0,Premium,Low
CAR_000029,390000.0,33000.0,Low,Medium
CAR_000030,1964999.0,28000.0,Premium,Low
CAR_000031,1425000.0,59000.0,Premium,Medium
CAR_000032,975000.0,4500.0,High,Low
CAR_000033,1190000.0,60000.0,Premium,Very High
CAR_000034,4461000.0,60000.0,High,Low
CAR_000035,525000.0,15000.0,Mid,Low
CAR_000036,1735000.0,50000.0,Premium,Medium
CAR_000037,1375000.0,33800.0,Premium,Medium
CAR_000038,450000.0,60000.0,Mid,High
CAR_000039,900000.0,50000.0,High,Medium
CAR_000040,1300000.0,80000.0,Premium,High
CAR_000041,1400000.0,10000.0,Premium,Medium
CAR_000042,850000.0,119000.0,High,High
CAR_000043,229999.0,60000.0,Low,Medium
CAR_000044,1550000.0,75800.0,Premium,High
CAR_000045,1250000.0,78000.0,Premium,High
CAR_000046,625000.0,40000.0,High,Medium
CAR_000047,1050000.0,50000.0,Premium,Medium
CAR_000048,560000.0,74000.0,Low,High
CAR_000049,290000.0,64000.0,Low,Medium
CAR_000050,275000.0,60000.0,Low,Medium
CAR_000051,411000.0,120000.0,Mid,High
CAR_000052,4461000.0,79000.0,Low,High
CAR_000053,500000.0,15000.0,Mid,Medium
CAR_000054,100000.0,80000.0,Low,High
CAR_000055,725000.0,18500.0,High,Low
CAR_000056,401000.0,10200.0,Mid,Low
CAR_000057,750000.0,29000.0,Low,Low
CAR_000058,310000.0,28000.0,Mid,Low
CAR_000059,665000.0,46000.0,High,Medium
CAR_000060,465000.0,70000.0,Mid,Medium
CAR_000061,160000.0,60000.0,Low,Medium
CAR_000062,250000.0,35000.0,Low,Medium
CAR_000063,675000.0,90000.0,High,High
CAR_000064,300000.0,80000.0,Low,High
CAR_000065,70000.0,80000.0,Low,High
CAR_000066,240000.0,73300.0,Low,High
CAR_000067,525000.0,92000.0,Mid,High
CAR_000068,151000.0,66764.0,Low,Medium
CAR_000069,140000.0,100000.0,Low,High
CAR_000070,280000.0,350000.0,Low,Very High
CAR_000071,4461000.0,230000.0,Mid,Very High
CAR_000072,570000.0,60000.0,Mid,Medium
CAR_000073,300000.0,31000.0,Low,Medium
CAR_000074,100000.0,39000.0,Low,Medium
CAR_000075,500000.0,120000.0,Mid,Medium
CAR_000076,125000.0,166000.0,Low,Very High
CAR_000077,130000.0,110000.0,Low,High
CAR_000078,925000.0,35000.0,High,Medium
CAR_000079,750000.0,60000.0,High,Medium
CAR_000080,200000.0,54000.0,Low,Medium
CAR_000081,4461000.0,60000.0,Low,Medium
CAR_000082,450000.0,120000.0,Mid,High
CAR_000083,80000.0,120000.0,Low,Medium
CAR_000084,650000.0,76000.0,High,High
CAR_000085,4461000.0,80000.0,Mid,High
CAR_000086,650000.0,25000.0,Low,Low
CAR_000087,495000.0,11958.0,Mid,Low
CAR_000088,371000.0,20000.0,Mid,Low
CAR_000089,1025000.0,60000.0,Premium,Low
CAR_000090,8150000.0,6500.0,Premium,Low
CAR_000091,750000.0,70000.0,High,Medium
CAR_000092,600000.0,120000.0,Mid,High
CAR_000093,80000.0,58000.0,Low,Medium
CAR_000094,4461000.0,60000.0,Mid,Medium
CAR_000095,1470000.0,34000.0,Premium,Medium
CAR_000096,350000.0,60000.0,Mid,Medium
CAR_000097,4461000.0,49000.0,Premium,Medium
CAR_000098,210000.0,60000.0,Low,Low
CAR_000099,450000.0,50000.0,Mid,Medium
CAR_000100,1150000.0,53000.0,Premium,Medium
CAR_000101,210000.0,63500.0,Low,Medium
CAR_000102,4500000.0,9800.0,Premium,Low
CAR_000103,2750000.0,13000.0,Premium,Low
CAR_000104,1975000.0,21000.0,Premium,Low
CAR_000105,175000.0,29173.0,Low,Low
CAR_000106,2500000.0,48000.0,Premium,Medium
CAR_000107,628000.0,120000.0,High,High
CAR_000108,600000.0,100000.0,Mid,High
CAR_000109,399000.0,30000.0,Mid,Low
CAR_000110,4461000.0,87000.0,High,High
CAR_000111,750000.0,15000.0,High,Low
CAR_000112,315000.0,16000.0,Mid,Low
CAR_000113,600000.0,60000.0,Mid,Medium
CAR_000114,100000.0,60000.0,Low,Medium
CAR_000115,250000.0,110000.0,Low,Medium
CAR_000116,350000.0,25000.0,Mid,Low
CAR_000117,780000.0,60000.0,High,Medium
CAR_000118,434000.0,79350.0,Mid,High
CAR_000119,690000.0,80000.0,High,High
CAR_000120,555000.0,90000.0,Low,Medium
CAR_000121,4461000.0,90000.0,Low,High
CAR_000122,500000.0,120000.0,Mid,High
CAR_000123,165000.0,60000.0,Low,Medium
CAR_000124,95000.0,60000.0,Low,Medium
CAR_000125,550000.0,20000.0,Mid,Low
CAR_000126,100000.0,110000.0,Low,High
CAR_000127,100000.0,50000.0,Low,Medium
CAR_000128,500000.0,100000.0,Mid,High
CAR_000129,800000.0,70000.0,High,Medium
